# Wave-5 WA covered-county first-alert — sent 2026-07-28
# 189 recipients, --alert --text-only, subject 'A Washington filing deadline expires Aug. 5 — 8 days out'
# sent_utc | email | firm | city
2026-07-27T23:10:18.821000Z | info@flstax.com | FLS Tax & Accounting Service, PLLC | Kennewick
2026-07-27T23:10:28.435000Z | office.mail@mmracpa.com | Moody, Mickelsen, Rowley & Adamson, P.S. | Kennewick
2026-07-27T23:10:36.965000Z | dale@otfcpa.com | Oswalt, Teel & Franklin | Kennewick
2026-07-28T08:04:58.881000Z | info@sattlerassociates.com | Sattler & Associates CPAs | Prosser
2026-07-28T08:05:07.155000Z | clientoutreach@ias-cpa.com | Insight Accounting Solutions LLC | Richland
2026-07-28T08:05:15.421000Z | doord@tricitiescpa.com | Nilson & Oord PLLC | Richland
2026-07-28T08:05:23.690000Z | shanierowleycpa@gmail.com | Precision Accounting Solutions - Shanie Rowley, CPA | Richland
2026-07-28T08:05:31.961000Z | info@chelanvalleycpas.com | Chelan Valley CPAs | Chelan
2026-07-28T08:05:40.275000Z | charles@andersonaccounting.cpa | Anderson Accounting and Tax, PLLC | Leavenworth
2026-07-28T08:05:48.567000Z | cindy@evergreenacc.com | Evergreen Accounting | Leavenworth
2026-07-28T08:05:56.855000Z | cmcclurecpa@hotmail.com | Chuck McClure, CPA, PLLC | Wenatchee
2026-07-28T08:06:05.157000Z | info@goldenappleservices.com | Golden Apple Tax & Services LLC | Wenatchee
2026-07-28T08:06:13.485000Z | info@bomincps.com | Baker, Overby & Moore Inc PS | Port Angeles
2026-07-28T08:06:21.755000Z | sequim@bellscpa.com | Bell & Bell PLLC | Sequim
2026-07-28T08:06:30.039000Z | info@meyer.cpa | Meyer & Company CPAs | Sequim
2026-07-28T08:06:38.314000Z | cynthia@sequim-cpa.com | Sequim CPA (Sequim Accounting) | Sequim
2026-07-28T08:06:46.881000Z | officemanager@nwapllc.com | NW Accounting Professionals LLC | Battle Ground
2026-07-28T08:06:55.293000Z | rodger@rodgermorancpa.com | Rodger Moran CPA | Battle Ground
2026-07-28T08:07:03.565000Z | info@wayneriverscpa.com | Wayne Rivers CPA | Battle Ground
2026-07-28T08:07:11.823000Z | hello@barrett-cpa.com | Barrett and Company | Camas
2026-07-28T08:07:20.082000Z | mindy@swankcpa.com | Swank CPA | Camas
2026-07-28T08:07:28.354000Z | heidi@gtaxpro.com | Guardian Tax Service | Ridgefield
2026-07-28T08:07:36.657000Z | info@nwcpa.net | NWCPA | Ridgefield
2026-07-28T08:07:45.007000Z | abdel.blk@ab-accounting.com | AB Tax & Accounting Services Inc | Vancouver
2026-07-28T08:07:55.566000Z | info@brewercaley.com | Brewer Caley CPAs | Vancouver
2026-07-28T08:08:03.852000Z | carl@candctaxes.com | C & C Tax and Accounting | Vancouver
2026-07-28T08:08:12.134000Z | connie@clt-cpa.com | CLT Accounting & Taxes (Connie Liu Terpening CPA LLC) | Vancouver
2026-07-28T08:08:21.857000Z | info@conovertax.com | Conover Tax LLC | Vancouver
